%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1492398273778223970,1,1492398273708036899,,-176.168333412,-1.2929550648,-1.40288153265,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0341928468,0.0114484978125,-0.029613447675,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.74586227459,-0.927174274536,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273796826068,2,1492398273728029966,,-176.093620457,1.08156673058,-1.40288153265,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0346507867125,0.0134329041,-0.02991874095,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,0.775616941198,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273817374104,3,1492398273747925996,,-176.093620457,1.08156673058,-1.38035407344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035108726625,0.0132802574625,-0.0285449212125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,0.775616941198,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273837258449,4,1492398273767924070,,-176.093620457,1.08156673058,-1.38035407344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034498140075,0.01037997135,-0.029002861125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.79935309812,0.775616941198,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273857150620,5,1492398273787919998,,-176.126614335,-3.87338566493,-1.38035407344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033887553525,0.0111432045375,-0.0303766808625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,-2.78152282361,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273877138365,6,1492398273807921886,,-176.126614335,-3.87338566493,-1.38035407344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035108726625,0.010074678075,-0.0303766808625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,-2.78152282361,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273899220222,7,1492398273828097105,,-176.126614335,-3.87338566493,-1.38035407344,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0337349068875,0.0123643776375,-0.0273237481125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,-2.78152282361,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273917233073,8,1492398273847986936,,-176.126614335,-3.87338566493,-1.37483478057,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03358226025,0.0129749641875,-0.0306819741375,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,-2.78152282361,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273945307769,9,1492398273867980957,,-176.126614335,-3.87338566493,-1.37483478057,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036635193,0.0141961372875,-0.0315978539625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,-2.78152282361,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1492398273957421322,10,1492398273888021945,,-176.126614335,-3.87338566493,-1.37483478057,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033887553525,0.01404349065,-0.0303766808625,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78152282361,-2.78152282361,-40.9877877277,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
